Episode 50/1000 | Avg Reward: -200.00 | Epsilon: 0.7783 | Buffer: 10000
Episode 100/1000 | Avg Reward: -200.00 | Epsilon: 0.6058 | Buffer: 20000
Episode 150/1000 | Avg Reward: -200.00 | Epsilon: 0.4715 | Buffer: 30000
Episode 200/1000 | Avg Reward: -200.00 | Epsilon: 0.3670 | Buffer: 40000
Episode 250/1000 | Avg Reward: -200.00 | Epsilon: 0.2856 | Buffer: 50000
Episode 300/1000 | Avg Reward: -200.00 | Epsilon: 0.2223 | Buffer: 60000
Episode 350/1000 | Avg Reward: -200.00 | Epsilon: 0.1730 | Buffer: 70000
Episode 400/1000 | Avg Reward: -200.00 | Epsilon: 0.1347 | Buffer: 80000
Episode 450/1000 | Avg Reward: -200.00 | Epsilon: 0.1048 | Buffer: 90000
Episode 500/1000 | Avg Reward: -200.00 | Epsilon: 0.0816 | Buffer: 100000
Episode 550/1000 | Avg Reward: -200.00 | Epsilon: 0.0635 | Buffer: 100000
Episode 600/1000 | Avg Reward: -200.00 | Epsilon: 0.0494 | Buffer: 100000
Episode 650/1000 | Avg Reward: -200.00 | Epsilon: 0.0385 | Buffer: 100000
Episode 700/1000 | Avg Reward: -200.00 | Epsilon: 0.0299 | Buffer: 100000
Episode 750/1000 | Avg Reward: -200.00 | Epsilon: 0.0233 | Buffer: 100000
Episode 800/1000 | Avg Reward: -200.00 | Epsilon: 0.0181 | Buffer: 100000
Episode 850/1000 | Avg Reward: -200.00 | Epsilon: 0.0141 | Buffer: 100000
Episode 900/1000 | Avg Reward: -200.00 | Epsilon: 0.0110 | Buffer: 100000
Episode 950/1000 | Avg Reward: -200.00 | Epsilon: 0.0100 | Buffer: 100000
Episode 1000/1000 | Avg Reward: -200.00 | Epsilon: 0.0100 | Buffer: 100000
