Episode 10/2500 | Avg Reward: -200.00 | Epsilon: 0.9511 | Buffer: 2000
Episode 20/2500 | Avg Reward: -199.30 | Epsilon: 0.9046 | Buffer: 3993
Episode 30/2500 | Avg Reward: -200.00 | Epsilon: 0.8604 | Buffer: 5993
Episode 40/2500 | Avg Reward: -196.60 | Epsilon: 0.8183 | Buffer: 7959
Episode 50/2500 | Avg Reward: -200.00 | Epsilon: 0.7783 | Buffer: 9959
Episode 60/2500 | Avg Reward: -197.50 | Epsilon: 0.7403 | Buffer: 11934
Episode 70/2500 | Avg Reward: -200.00 | Epsilon: 0.7041 | Buffer: 13934
Episode 80/2500 | Avg Reward: -200.00 | Epsilon: 0.6696 | Buffer: 15934
Episode 90/2500 | Avg Reward: -200.00 | Epsilon: 0.6369 | Buffer: 17934
Episode 100/2500 | Avg Reward: -200.00 | Epsilon: 0.6058 | Buffer: 19934
Episode 110/2500 | Avg Reward: -200.00 | Epsilon: 0.5762 | Buffer: 21934
Episode 120/2500 | Avg Reward: -200.00 | Epsilon: 0.5480 | Buffer: 23934
Episode 130/2500 | Avg Reward: -200.00 | Epsilon: 0.5212 | Buffer: 25934
Episode 140/2500 | Avg Reward: -200.00 | Epsilon: 0.4957 | Buffer: 27934
Episode 150/2500 | Avg Reward: -197.90 | Epsilon: 0.4715 | Buffer: 29913
Episode 160/2500 | Avg Reward: -200.00 | Epsilon: 0.4484 | Buffer: 31913
Episode 170/2500 | Avg Reward: -200.00 | Epsilon: 0.4265 | Buffer: 33913
Episode 180/2500 | Avg Reward: -200.00 | Epsilon: 0.4057 | Buffer: 35913
Episode 190/2500 | Avg Reward: -200.00 | Epsilon: 0.3858 | Buffer: 37913
Episode 200/2500 | Avg Reward: -200.00 | Epsilon: 0.3670 | Buffer: 39913
Episode 210/2500 | Avg Reward: -200.00 | Epsilon: 0.3490 | Buffer: 41913
Episode 220/2500 | Avg Reward: -200.00 | Epsilon: 0.3320 | Buffer: 43913
Episode 230/2500 | Avg Reward: -200.00 | Epsilon: 0.3157 | Buffer: 45913
Episode 240/2500 | Avg Reward: -200.00 | Epsilon: 0.3003 | Buffer: 47913
Episode 250/2500 | Avg Reward: -200.00 | Epsilon: 0.2856 | Buffer: 49913
Episode 260/2500 | Avg Reward: -200.00 | Epsilon: 0.2716 | Buffer: 51913
Episode 270/2500 | Avg Reward: -200.00 | Epsilon: 0.2584 | Buffer: 53913
Episode 280/2500 | Avg Reward: -197.60 | Epsilon: 0.2457 | Buffer: 55889
Episode 290/2500 | Avg Reward: -196.80 | Epsilon: 0.2337 | Buffer: 57857
Episode 300/2500 | Avg Reward: -200.00 | Epsilon: 0.2223 | Buffer: 59857
Episode 310/2500 | Avg Reward: -200.00 | Epsilon: 0.2114 | Buffer: 61857
Episode 320/2500 | Avg Reward: -195.40 | Epsilon: 0.2011 | Buffer: 63811
Episode 330/2500 | Avg Reward: -191.40 | Epsilon: 0.1913 | Buffer: 65725
Episode 340/2500 | Avg Reward: -188.90 | Epsilon: 0.1819 | Buffer: 67614
