Episode 100/20000 | Avg Reward: -200.00 | Epsilon: 0.9512 | States visited: 62
Episode 200/20000 | Avg Reward: -200.00 | Epsilon: 0.9048 | States visited: 75
Episode 300/20000 | Avg Reward: -200.00 | Epsilon: 0.8607 | States visited: 83
Episode 400/20000 | Avg Reward: -200.00 | Epsilon: 0.8187 | States visited: 87
Episode 500/20000 | Avg Reward: -200.00 | Epsilon: 0.7788 | States visited: 114
Episode 600/20000 | Avg Reward: -200.00 | Epsilon: 0.7408 | States visited: 127
Episode 700/20000 | Avg Reward: -200.00 | Epsilon: 0.7046 | States visited: 144
Episode 800/20000 | Avg Reward: -200.00 | Epsilon: 0.6703 | States visited: 152
Episode 900/20000 | Avg Reward: -200.00 | Epsilon: 0.6376 | States visited: 157
Episode 1000/20000 | Avg Reward: -200.00 | Epsilon: 0.6065 | States visited: 176
Episode 1100/20000 | Avg Reward: -200.00 | Epsilon: 0.5769 | States visited: 191
Episode 1200/20000 | Avg Reward: -200.00 | Epsilon: 0.5487 | States visited: 198
Episode 1300/20000 | Avg Reward: -200.00 | Epsilon: 0.5220 | States visited: 211
Episode 1400/20000 | Avg Reward: -200.00 | Epsilon: 0.4965 | States visited: 214
Episode 1500/20000 | Avg Reward: -200.00 | Epsilon: 0.4723 | States visited: 239
Episode 1600/20000 | Avg Reward: -200.00 | Epsilon: 0.4492 | States visited: 243
Episode 1700/20000 | Avg Reward: -199.60 | Epsilon: 0.4273 | States visited: 248
Episode 1800/20000 | Avg Reward: -199.93 | Epsilon: 0.4065 | States visited: 252
Episode 1900/20000 | Avg Reward: -200.00 | Epsilon: 0.3866 | States visited: 253
Episode 2000/20000 | Avg Reward: -199.94 | Epsilon: 0.3678 | States visited: 253
Episode 2100/20000 | Avg Reward: -200.00 | Epsilon: 0.3498 | States visited: 255
Episode 2200/20000 | Avg Reward: -196.83 | Epsilon: 0.3328 | States visited: 263
Episode 2300/20000 | Avg Reward: -199.16 | Epsilon: 0.3165 | States visited: 264
Episode 2400/20000 | Avg Reward: -198.76 | Epsilon: 0.3011 | States visited: 266
Episode 2500/20000 | Avg Reward: -198.84 | Epsilon: 0.2864 | States visited: 267
Episode 2600/20000 | Avg Reward: -199.31 | Epsilon: 0.2724 | States visited: 268
Episode 2700/20000 | Avg Reward: -193.83 | Epsilon: 0.2592 | States visited: 280
Episode 2800/20000 | Avg Reward: -191.25 | Epsilon: 0.2465 | States visited: 285
Episode 2900/20000 | Avg Reward: -199.12 | Epsilon: 0.2345 | States visited: 285
Episode 3000/20000 | Avg Reward: -192.84 | Epsilon: 0.2230 | States visited: 285
Episode 3100/20000 | Avg Reward: -191.87 | Epsilon: 0.2122 | States visited: 285
Episode 3200/20000 | Avg Reward: -183.50 | Epsilon: 0.2018 | States visited: 288
Episode 3300/20000 | Avg Reward: -188.03 | Epsilon: 0.1920 | States visited: 288
Episode 3400/20000 | Avg Reward: -194.12 | Epsilon: 0.1826 | States visited: 288
Episode 3500/20000 | Avg Reward: -182.00 | Epsilon: 0.1737 | States visited: 290
Episode 3600/20000 | Avg Reward: -174.58 | Epsilon: 0.1652 | States visited: 291
Episode 3700/20000 | Avg Reward: -197.15 | Epsilon: 0.1572 | States visited: 291
Episode 3800/20000 | Avg Reward: -182.54 | Epsilon: 0.1495 | States visited: 291
Episode 3900/20000 | Avg Reward: -199.60 | Epsilon: 0.1422 | States visited: 291
Episode 4000/20000 | Avg Reward: -187.23 | Epsilon: 0.1353 | States visited: 291
Episode 4100/20000 | Avg Reward: -183.57 | Epsilon: 0.1287 | States visited: 291
Episode 4200/20000 | Avg Reward: -192.78 | Epsilon: 0.1224 | States visited: 291
Episode 4300/20000 | Avg Reward: -178.41 | Epsilon: 0.1164 | States visited: 291
Episode 4400/20000 | Avg Reward: -188.12 | Epsilon: 0.1107 | States visited: 292
Episode 4500/20000 | Avg Reward: -191.94 | Epsilon: 0.1053 | States visited: 292
Episode 4600/20000 | Avg Reward: -169.53 | Epsilon: 0.1002 | States visited: 293
Episode 4700/20000 | Avg Reward: -175.63 | Epsilon: 0.0953 | States visited: 293
Episode 4800/20000 | Avg Reward: -174.21 | Epsilon: 0.0907 | States visited: 295
Episode 4900/20000 | Avg Reward: -174.48 | Epsilon: 0.0862 | States visited: 295
Episode 5000/20000 | Avg Reward: -179.66 | Epsilon: 0.0820 | States visited: 295
Episode 5100/20000 | Avg Reward: -175.18 | Epsilon: 0.0780 | States visited: 295
Episode 5200/20000 | Avg Reward: -172.16 | Epsilon: 0.0742 | States visited: 295
Episode 5300/20000 | Avg Reward: -169.29 | Epsilon: 0.0706 | States visited: 295
Episode 5400/20000 | Avg Reward: -147.38 | Epsilon: 0.0672 | States visited: 295
Episode 5500/20000 | Avg Reward: -160.92 | Epsilon: 0.0639 | States visited: 295
Episode 5600/20000 | Avg Reward: -169.79 | Epsilon: 0.0608 | States visited: 295
Episode 5700/20000 | Avg Reward: -169.77 | Epsilon: 0.0578 | States visited: 295
Episode 5800/20000 | Avg Reward: -163.47 | Epsilon: 0.0550 | States visited: 295
Episode 5900/20000 | Avg Reward: -150.78 | Epsilon: 0.0523 | States visited: 295
Episode 6000/20000 | Avg Reward: -155.65 | Epsilon: 0.0497 | States visited: 296
Episode 6100/20000 | Avg Reward: -163.67 | Epsilon: 0.0473 | States visited: 296
Episode 6200/20000 | Avg Reward: -156.32 | Epsilon: 0.0450 | States visited: 296
Episode 6300/20000 | Avg Reward: -148.73 | Epsilon: 0.0428 | States visited: 296
Episode 6400/20000 | Avg Reward: -154.01 | Epsilon: 0.0407 | States visited: 296
Episode 6500/20000 | Avg Reward: -164.47 | Epsilon: 0.0387 | States visited: 296
Episode 6600/20000 | Avg Reward: -168.03 | Epsilon: 0.0369 | States visited: 296
Episode 6700/20000 | Avg Reward: -160.23 | Epsilon: 0.0351 | States visited: 296
Episode 6800/20000 | Avg Reward: -154.35 | Epsilon: 0.0333 | States visited: 296
